#YY  ,MM ,DD ,hh ,mm ,WDIR, WSPD, GST  ,WVHT ,  DPD  , APD ,MWD ,  PRES , ATMP  ,WTMP , DEWP , VIS , TIDE
#yr  ,mo ,dy ,hr ,mn ,degT, m/s , m/s  ,   m ,  sec  , sec ,degT,   hPa , degC  ,degC , degC ,  mi ,   ft
2017,1,4,22,49,999,99.0,99.0,0.60,9.88,8.50,342,9999.0,999.0,11.9,999.0,99.0,99.00
2017,1,4,23,19,999,99.0,99.0,0.54,9.88,8.39,343,9999.0,999.0,11.9,999.0,99.0,99.00
2017,1,4,23,49,999,99.0,99.0,0.54,10.53,8.38,343,9999.0,999.0,11.9,999.0,99.0,99.00
2017,1,5,0,19,999,99.0,99.0,0.50,9.88,8.10,343,9999.0,999.0,11.9,999.0,99.0,99.00
2017,1,5,0,49,999,99.0,99.0,0.46,10.53,8.06,343,9999.0,999.0,11.9,999.0,99.0,99.00
2017,1,5,1,19,999,99.0,99.0,0.41,8.33,7.63,334,9999.0,999.0,12.0,999.0,99.0,99.00
2017,1,5,1,49,999,99.0,99.0,0.42,9.88,7.64,334,9999.0,999.0,11.9,999.0,99.0,99.00
2017,1,5,2,19,999,99.0,99.0,0.40,9.88,7.55,336,9999.0,999.0,11.9,999.0,99.0,99.00
2017,1,5,2,49,999,99.0,99.0,0.39,10.53,7.48,343,9999.0,999.0,11.9,999.0,99.0,99.00
2017,1,5,3,19,999,99.0,99.0,0.38,10.53,7.18,342,9999.0,999.0,11.9,999.0,99.0,99.00
2017,1,5,3,49,999,99.0,99.0,0.38,10.53,7.17,339,9999.0,999.0,11.9,999.0,99.0,99.00
2017,1,5,4,19,999,99.0,99.0,0.39,9.09,7.19,336,9999.0,999.0,11.9,999.0,99.0,99.00
2017,1,5,4,49,999,99.0,99.0,0.42,9.88,6.90,338,9999.0,999.0,12.0,999.0,99.0,99.00
2017,1,5,5,19,999,99.0,99.0,0.46,9.88,6.89,341,9999.0,999.0,12.0,999.0,99.0,99.00
2017,1,5,5,49,999,99.0,99.0,0.42,9.09,6.87,336,9999.0,999.0,11.9,999.0,99.0,99.00
2017,1,5,6,19,999,99.0,99.0,0.46,9.88,7.27,342,9999.0,999.0,11.9,999.0,99.0,99.00
2017,1,5,6,49,999,99.0,99.0,0.41,8.33,6.69,334,9999.0,999.0,11.9,999.0,99.0,99.00
2017,1,5,7,19,999,99.0,99.0,0.49,9.09,5.16,336,9999.0,999.0,11.9,999.0,99.0,99.00
2017,1,5,7,49,999,99.0,99.0,0.53,9.88,4.46,341,9999.0,999.0,11.9,999.0,99.0,99.00
2017,1,5,8,19,999,99.0,99.0,0.52,9.88,4.29,343,9999.0,999.0,11.9,999.0,99.0,99.00
2017,1,5,8,49,999,99.0,99.0,0.54,9.88,4.15,336,9999.0,999.0,11.9,999.0,99.0,99.00
2017,1,5,9,19,999,99.0,99.0,0.58,9.09,4.04,338,9999.0,999.0,11.9,999.0,99.0,99.00
2017,1,5,9,49,999,99.0,99.0,0.62,9.09,4.12,332,9999.0,999.0,11.9,999.0,99.0,99.00
2017,1,5,10,19,999,99.0,99.0,0.63,20.00,4.16,2,9999.0,999.0,11.9,999.0,99.0,99.00
2017,1,5,10,49,999,99.0,99.0,0.64,4.55,4.15,999,9999.0,999.0,11.9,999.0,99.0,99.00
2017,1,5,11,19,999,99.0,99.0,0.63,5.26,4.40,322,9999.0,999.0,11.9,999.0,99.0,99.00
2017,1,5,11,49,999,99.0,99.0,0.64,5.56,4.32,322,9999.0,999.0,11.9,999.0,99.0,99.00
